source,compound
Ars Technica,0.040733333333333344
BBC News,-0.15194166666666667
Blog.google,0.3753666666666667
Blogspot.com,-0.11638333333333332
CNN,0.20423999999999998
Engadget,0.059437500000000004
Gizmodo.com,-0.21280000000000002
New York Times,-0.15372666666666665
Reuters,-0.26316
TechCrunch,0.5320999999999999
The Verge,0.13018333333333335
Wired,-0.18552000000000002
